1,28,0.156,5.42
2,30,0.176,4.68
3,32,0.196,4.1
4,34,0.227,3.41
5,36,0.257,2.89
6,38,0.287,2.48
7,40,0.318,2.15
8,42,0.348,1.87
9,44,0.378,1.64
10,46,0.409,1.45
11,48,0.439,1.28
12,50,0.47,1.13
13,52,0.5,1
14,54,0.53,0.89
15,56,0.561,0.78
16,58,0.591,0.69
17,60,0.621,0.61
18,62,0.652,0.53
19,64,0.682,0.47
20,66,0.713,0.4
21,67,0.728,0.37
22,68,0.743,0.35
23,69,0.758,0.32
24,70,0.773,0.29
25,71,0.788,0.27
26,72,0.804,0.24
27,73,0.819,0.22
28,74,0.834,0.2
29,75,0.849,0.18
30,76,0.864,0.16
31,77,0.88,0.14
32,78,0.895,0.12
33,79,0.91,0.1
34,80,0.925,0.08
35,81,0.94,0.06
36,82,0.956,0.05
37,83,0.971,0.03
38,84,0.986,0.01
39,85,1.001,0
